	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
1311	2013-06-04	27,476,915	2,987,301,735	109.0	110.0	107.5	109.0	+1.50	6,964	2013-06-04	109.0	109.0	109.0	0.0
1312	2013-06-05	25,581,235	2,802,975,365	109.5	110.5	108.5	109.5	+0.50	4,331	2013-06-05	109.5	109.5	109.5	0.0
1313	2013-06-06	34,251,239	3,696,663,148	108.5	109.5	107.0	107.5	-2.00	8,225	2013-06-06	107.5	108.5	107.5	-1.0
1314	2013-06-07	33,085,685	3,599,966,794	108.0	109.5	108.0	108.5	+1.00	9,288	2013-06-07	108.5	108.0	108.5	0.5
1315	2013-06-10	21,941,087	2,389,739,825	110.0	110.0	108.0	108.5	 0.00	5,544	2013-06-10	108.5	110.0	108.5	-1.5
1316	2013-06-11	37,162,875	4,039,110,540	110.0	110.0	108.0	108.0	-0.50	7,971	2013-06-11	108.0	110.0	108.0	-2.0
1317	2013-06-13	61,059,253	6,426,059,165	106.0	107.0	104.0	104.5	-3.50	15,038	2013-06-13	104.5	106.0	104.5	-1.5
1318	2013-06-14	41,207,256	4,344,673,136	105.0	106.0	104.5	106.0	+1.50	8,686	2013-06-14	106.0	105.0	106.0	1.0
1319	2013-06-17	23,014,898	2,427,943,688	105.5	106.0	105.0	106.0	 0.00	7,015	2013-06-17	106.0	105.5	106.0	0.5
1320	2013-06-18	31,676,097	3,345,414,299	105.0	106.5	104.5	106.5	+0.50	6,753	2013-06-18	106.5	105.0	106.5	1.5
1321	2013-06-19	22,084,611	2,334,582,437	106.0	106.5	105.0	105.5	-1.00	5,112	2013-06-19	105.5	106.0	105.5	-0.5
1322	2013-06-20	29,998,376	3,129,908,604	105.0	105.5	103.5	104.0	-1.50	8,257	2013-06-20	104.0	105.0	104.0	-1.0
1323	2013-06-21	39,844,187	4,087,505,319	102.0	103.5	101.5	103.5	-0.50	8,632	2013-06-21	103.5	102.0	103.5	1.5
